t_s,dtw_relaxed,dtw_close,dtw_open,env,fsm,gripper,fired
0.413,330.79,4392.64,2533.16,15.8,IDLE,open,
0.475,338.62,4408.64,2561.69,12.8,IDLE,open,
0.522,340.01,4362.13,2543.58,15.5,IDLE,open,
0.571,341.40,4340.27,2523.19,15.0,IDLE,open,
0.614,343.69,4331.40,2477.49,17.1,IDLE,open,
0.660,348.35,4330.52,2478.62,14.2,IDLE,open,
0.706,324.38,4326.40,2486.14,13.7,IDLE,open,
0.756,352.55,4312.08,2478.15,12.8,IDLE,open,
0.802,337.41,4290.45,2468.97,13.6,IDLE,open,
0.846,357.81,4257.92,2461.62,12.6,IDLE,open,
0.897,356.95,4257.57,2412.51,11.5,IDLE,open,
0.979,354.65,4223.45,2426.25,10.8,IDLE,open,
1.007,342.48,4240.25,2406.24,11.4,IDLE,open,
1.049,353.36,4280.38,2438.96,10.6,IDLE,open,
1.096,339.18,4302.14,2473.98,8.9,IDLE,open,
1.143,348.62,4305.91,2483.64,9.0,IDLE,open,
1.189,333.89,4314.84,2482.31,9.7,IDLE,open,
1.240,342.16,4326.58,2488.89,9.6,IDLE,open,
1.283,339.77,4364.72,2501.07,9.3,IDLE,open,
1.334,336.77,4357.72,2506.34,9.8,IDLE,open,
1.377,316.02,4353.83,2509.00,7.9,IDLE,open,
1.424,328.35,4352.73,2512.19,8.1,IDLE,open,
1.468,313.57,4364.90,2511.63,7.2,IDLE,open,
1.518,317.97,4381.06,2515.08,7.4,IDLE,open,
1.564,318.46,4383.28,2527.28,7.2,IDLE,open,
1.611,316.02,4397.08,2537.75,8.6,IDLE,open,
1.660,320.52,4458.99,2565.87,8.7,IDLE,open,
1.705,318.31,4477.51,2569.82,9.0,IDLE,open,
1.750,319.13,4474.23,2584.14,9.0,IDLE,open,
1.797,309.22,4473.31,2576.58,7.4,IDLE,open,
1.845,313.68,4503.12,2607.16,7.0,IDLE,open,
1.893,309.27,4516.52,2604.68,8.8,IDLE,open,
1.937,311.40,4546.71,2626.84,7.2,IDLE,open,
1.986,298.53,4556.82,2630.47,6.7,IDLE,open,
2.031,303.80,4572.05,2677.01,7.3,IDLE,open,
2.078,295.48,4579.15,2681.13,7.6,IDLE,open,
2.124,297.11,4581.12,2686.43,7.4,IDLE,open,
2.185,283.76,4582.54,2676.06,8.8,IDLE,open,
2.225,289.10,4529.78,2661.54,10.7,IDLE,open,
2.283,279.56,4503.86,2638.47,11.9,IDLE,open,
2.320,284.45,4510.67,2646.26,11.8,IDLE,open,
2.371,271.36,4512.43,2644.94,9.8,IDLE,open,
2.406,265.02,4510.94,2644.39,8.2,IDLE,open,
2.464,255.88,4511.87,2646.13,7.7,IDLE,open,
2.500,257.26,4514.97,2651.31,8.0,IDLE,open,
