t_s,dtw_open,env,fsm,gripper,fired
0.448,2427.18,130.0,PULSE,open,
0.494,2450.06,132.9,PULSE,open,
0.523,2483.31,132.5,PULSE,open,
0.574,2579.40,132.7,PULSE,open,
0.615,2619.94,133.6,PULSE,open,
0.665,2617.64,134.4,PULSE,open,
0.716,2618.52,135.9,PULSE,open,
0.755,2615.73,137.2,PULSE,open,
0.807,2610.82,134.3,PULSE,open,
0.860,2606.60,133.2,PULSE,open,
0.902,2597.34,133.3,PULSE,open,
0.948,2595.64,135.3,PULSE,open,
0.995,2589.88,134.6,PULSE,open,
1.040,2582.33,135.7,PULSE,open,
1.090,2580.52,132.0,PULSE,open,
1.135,2565.87,127.6,PULSE,open,
1.188,2556.78,125.6,PULSE,open,
1.229,2509.01,124.1,PULSE,open,
1.276,2486.08,122.3,PULSE,open,
1.322,2440.84,119.0,PULSE,open,
1.370,2406.19,117.4,PULSE,open,
1.420,2384.86,115.0,PULSE,open,
1.465,2389.66,115.1,PULSE,open,
1.517,2383.12,114.0,PULSE,open,
1.558,2350.03,111.4,PULSE,open,
1.605,2334.04,111.1,PULSE,open,
1.650,2289.54,107.8,PULSE,open,
1.696,2284.71,106.9,PULSE,open,
1.747,2264.29,105.9,PULSE,open,
1.789,2061.31,104.0,PULSE,open,
1.841,2123.42,102.6,PULSE,open,
1.885,2161.78,101.9,PULSE,open,
1.927,2193.37,100.6,PULSE,open,
1.980,3010.24,100.0,PULSE,open,
2.025,3199.47,100.1,PULSE,open,
2.073,3179.35,98.2,PULSE,open,
2.118,3151.59,94.7,PULSE,open,
2.169,3125.28,92.4,PULSE,open,
2.213,3133.19,92.4,PULSE,open,
2.261,3113.26,91.1,PULSE,open,
2.308,3083.02,87.9,PULSE,open,
2.352,3094.57,88.8,PULSE,open,
2.404,3076.61,86.5,PULSE,open,
2.450,3091.29,87.0,PULSE,open,
2.504,3050.09,83.2,PULSE,open,
2.545,3038.03,82.7,PULSE,open,
2.592,3024.27,81.5,PULSE,open,
2.637,3000.68,80.4,PULSE,open,
2.684,2971.36,79.6,PULSE,open,
2.733,2942.38,80.5,PULSE,open,
2.776,2915.42,79.2,PULSE,open,
2.828,2873.22,78.3,PULSE,open,
2.869,2843.39,78.4,PULSE,open,
2.916,2810.11,77.2,PULSE,open,
2.962,2761.37,76.5,PULSE,open,
3.008,2726.29,74.8,PULSE,open,
3.059,2688.75,73.4,PULSE,open,
3.102,2638.95,72.7,PULSE,open,
3.155,2577.68,70.8,PULSE,open,
3.232,2500.21,69.5,PULSE,open,
3.254,2479.36,70.5,PULSE,open,
3.289,2452.57,70.2,PULSE,open,
3.336,2435.27,70.4,PULSE,open,
3.386,2415.33,70.3,PULSE,open,
3.428,2388.63,70.9,PULSE,open,
3.478,2371.59,72.9,PULSE,open,
3.521,2355.22,73.2,PULSE,open,
3.567,2339.56,74.4,PULSE,open,
3.615,2324.51,76.0,PULSE,open,
3.660,2308.43,77.4,PULSE,open,
3.713,2302.02,80.2,PULSE,open,
3.756,2293.60,82.4,PULSE,open,
3.808,2286.84,84.4,PULSE,open,
3.851,2283.21,84.8,PULSE,open,
3.897,2282.68,88.2,PULSE,open,
3.942,2282.52,86.5,PULSE,open,
3.990,2282.39,88.9,PULSE,open,
4.040,2282.44,87.9,PULSE,open,
4.085,2283.86,87.4,PULSE,open,
4.135,2282.82,83.6,PULSE,open,
4.180,2286.57,79.8,PULSE,open,
4.227,2276.27,77.1,PULSE,open,
4.271,2272.31,74.3,PULSE,open,
4.317,2204.39,70.4,PULSE,open,
4.368,2125.69,67.2,PULSE,open,
4.409,2077.33,64.7,PULSE,open,
4.460,1989.47,60.7,PULSE,open,
