t_s,dtw_open,env,fsm,gripper,fired
4.504,1928.15,57.4,PULSE,open,
4.570,1815.00,51.8,PULSE,open,
4.614,1804.37,50.2,PULSE,open,
4.661,1752.42,49.5,PULSE,open,
4.709,1713.38,48.3,PULSE,open,
4.756,1675.28,46.9,PULSE,open,
4.808,1625.73,45.9,PULSE,open,
4.851,1612.58,45.4,PULSE,open,
4.901,1577.38,44.8,PULSE,open,
4.946,1533.86,42.6,PULSE,open,
4.991,1520.04,39.5,PULSE,open,
5.042,1512.36,40.3,PULSE,open,
5.089,1489.49,37.9,PULSE,open,
5.141,1478.08,35.9,PULSE,open,
5.186,1480.33,36.5,PULSE,open,
5.235,1475.95,34.6,PULSE,open,
5.279,1463.81,31.8,PULSE,open,
5.327,1455.16,31.0,PULSE,open,
5.376,1475.36,30.0,PULSE,open,
5.423,1472.16,29.6,PULSE,open,
5.474,1498.08,31.3,PULSE,open,
5.517,1506.13,32.0,PULSE,open,
5.570,1528.06,30.4,PULSE,open,
5.612,1535.64,29.7,PULSE,open,
5.659,1547.27,27.4,PULSE,open,
5.707,1570.85,25.8,PULSE,open,
5.756,1597.75,24.7,PULSE,open,
5.804,1594.02,23.3,REFRACTORY,open,
5.848,1580.24,22.6,REFRACTORY,open,
5.899,1551.91,21.7,REFRACTORY,open,
5.944,1530.60,20.8,REFRACTORY,open,
5.990,1497.91,20.7,REFRACTORY,open,
6.037,1460.72,21.5,REFRACTORY,open,
6.085,1421.68,18.3,REFRACTORY,open,
6.136,1393.06,19.0,REFRACTORY,open,
6.179,1369.82,17.9,REFRACTORY,open,
6.231,1335.25,16.8,REFRACTORY,open,
6.272,1312.75,16.3,REFRACTORY,open,
6.317,1288.16,16.5,REFRACTORY,open,
6.365,1263.15,16.6,REFRACTORY,open,
6.413,1245.38,15.4,REFRACTORY,open,
6.463,1219.35,18.1,REFRACTORY,open,
6.507,1206.69,18.9,REFRACTORY,open,
6.557,1210.68,21.1,REFRACTORY,open,
6.602,1203.60,21.5,REFRACTORY,open,
6.649,1198.64,24.7,REFRACTORY,open,
6.696,1172.84,26.4,REFRACTORY,open,
6.744,1114.09,30.4,REFRACTORY,open,
6.795,1091.51,32.7,REFRACTORY,open,
6.839,1073.81,37.1,REFRACTORY,open,
6.892,1071.44,43.5,REFRACTORY,open,
6.935,1076.48,49.3,REFRACTORY,open,
6.982,1090.29,52.0,REFRACTORY,open,
7.021,1091.64,56.1,REFRACTORY,open,
7.077,1108.13,60.8,REFRACTORY,open,
7.129,1127.15,62.8,REFRACTORY,open,
7.172,1149.01,62.9,REFRACTORY,open,
7.224,1172.02,60.4,REFRACTORY,open,
7.267,1183.59,59.2,REFRACTORY,open,
7.305,1203.37,59.6,REFRACTORY,open,
7.349,1191.83,56.5,REFRACTORY,open,
7.409,1115.87,50.1,REFRACTORY,open,
7.458,1070.66,46.9,REFRACTORY,open,
7.504,1023.19,42.7,REFRACTORY,open,
7.570,980.56,38.2,REFRACTORY,open,
7.614,986.52,34.4,REFRACTORY,open,
7.664,984.62,32.6,REFRACTORY,open,
7.707,986.29,30.4,REFRACTORY,open,
7.755,980.32,26.5,REFRACTORY,open,
7.801,912.34,21.3,REFRACTORY,open,
7.850,898.99,19.0,REFRACTORY,open,
7.899,860.66,16.2,REFRACTORY,open,
7.944,813.61,12.7,REFRACTORY,open,
7.995,784.02,8.8,REFRACTORY,open,
8.040,790.21,7.0,REFRACTORY,open,
8.085,790.46,5.4,IDLE,open,
8.131,795.51,4.1,IDLE,open,
8.179,794.68,3.1,IDLE,open,
8.277,789.90,3.4,IDLE,open,
8.318,783.99,4.9,IDLE,open,
8.366,783.32,5.5,IDLE,open,
8.413,770.41,8.4,IDLE,open,
8.464,761.01,9.6,IDLE,open,
8.505,754.98,10.7,IDLE,open,
8.553,752.70,12.0,IDLE,open,
8.598,753.21,12.2,IDLE,open,
8.645,753.25,13.1,IDLE,open,
8.691,780.50,14.9,IDLE,open,
8.738,815.28,15.2,IDLE,open,
8.790,846.71,15.1,IDLE,open,
8.832,908.41,15.2,IDLE,open,
8.900,1004.58,17.6,IDLE,open,
8.926,1053.16,17.8,IDLE,open,
8.974,1091.66,19.4,IDLE,open,
9.034,1183.19,21.1,IDLE,open,
9.082,1219.49,20.7,IDLE,open,
9.130,1215.17,20.6,IDLE,open,
9.176,1211.50,20.6,IDLE,open,
9.229,1210.07,24.3,IDLE,open,
9.270,1200.68,26.6,IDLE,open,
9.318,1198.82,27.8,IDLE,open,
9.363,1191.86,27.0,IDLE,open,
9.413,1178.72,29.2,IDLE,open,
9.470,1140.32,30.9,IDLE,open,
9.517,1137.98,30.7,IDLE,open,
9.564,1135.41,29.8,IDLE,open,
9.613,1137.68,30.3,IDLE,open,
9.661,1145.89,29.6,IDLE,open,
9.694,1153.86,29.0,IDLE,open,
9.739,1174.26,28.7,IDLE,open,
9.798,1217.19,28.6,IDLE,open,
9.846,1232.09,27.1,IDLE,open,
9.891,1264.08,27.1,IDLE,open,
9.940,1300.55,27.9,IDLE,open,
9.993,1288.00,28.6,IDLE,open,
10.022,1293.06,28.4,IDLE,open,
10.066,1282.99,28.0,IDLE,open,
10.112,1270.80,26.7,IDLE,open,
10.160,1260.46,27.6,IDLE,open,
10.213,1247.65,27.4,IDLE,open,
10.257,1236.41,27.9,IDLE,open,
10.306,1220.38,26.0,IDLE,open,
10.352,1210.43,25.2,IDLE,open,
10.399,1199.46,26.1,IDLE,open,
10.445,1199.52,26.9,IDLE,open,
10.492,1193.54,28.6,IDLE,open,
10.545,1186.36,28.0,IDLE,open,
10.587,1177.44,28.0,IDLE,open,
10.637,1171.08,29.7,IDLE,open,
10.682,1173.23,30.6,IDLE,open,
10.729,1170.29,32.9,IDLE,open,
10.775,1160.24,34.8,IDLE,open,
10.820,1152.84,33.4,IDLE,open,
10.874,1140.42,32.6,IDLE,open,
10.915,1121.86,31.1,IDLE,open,
10.965,1117.41,28.7,IDLE,open,
11.008,1641.72,425.2,PULSE,open,
11.055,2040.92,591.3,PULSE,open,
11.102,2206.26,213.0,PULSE,open,
11.149,1839.71,111.7,PULSE,open,
11.200,1759.88,63.4,PULSE,open,
11.243,1719.03,137.4,PULSE,open,
11.289,1736.47,234.0,PULSE,open,
11.333,1986.34,324.0,PULSE,open,
11.380,2261.37,358.6,PULSE,open,
11.427,2470.80,337.8,PULSE,open,
11.474,2703.58,290.9,PULSE,open,
11.525,2837.00,191.1,PULSE,open,
11.566,2686.50,112.7,PULSE,open,
11.616,1857.52,53.5,PULSE,open,
11.662,1744.92,25.7,PULSE,open,
11.709,1623.00,12.9,REFRACTORY,open,
11.756,1585.70,14.5,REFRACTORY,open,
11.802,1596.31,14.8,REFRACTORY,open,
11.855,1597.99,15.8,REFRACTORY,open,
11.895,1572.84,17.4,REFRACTORY,open,
11.943,1551.96,20.0,REFRACTORY,open,
11.989,1662.30,22.8,REFRACTORY,open,
12.035,1669.30,24.9,REFRACTORY,open,
12.083,1680.83,28.3,REFRACTORY,open,
12.132,1696.78,31.2,REFRACTORY,open,
12.177,1707.82,31.2,REFRACTORY,open,
12.228,1717.80,30.4,REFRACTORY,open,
12.277,1709.60,29.4,REFRACTORY,open,
12.320,1684.91,27.3,REFRACTORY,open,
12.367,1665.06,23.9,REFRACTORY,open,
12.415,1581.54,20.0,REFRACTORY,open,
12.462,1457.94,14.3,REFRACTORY,open,
12.517,1451.88,9.8,REFRACTORY,open,
12.560,1393.62,10.4,REFRACTORY,open,
12.600,1425.79,14.0,REFRACTORY,open,
12.656,1366.40,25.4,REFRACTORY,open,
12.704,1417.00,33.9,REFRACTORY,open,
12.750,1556.12,39.8,REFRACTORY,open,
12.798,1600.46,46.5,REFRACTORY,open,
12.851,1671.65,46.5,REFRACTORY,open,
12.891,1701.32,43.1,REFRACTORY,open,
12.941,1724.92,35.5,REFRACTORY,open,
12.982,2313.77,29.5,REFRACTORY,open,
13.034,1813.16,20.2,REFRACTORY,open,
13.079,1578.81,10.8,REFRACTORY,open,
13.125,1500.90,7.8,REFRACTORY,open,
13.178,1410.93,13.1,REFRACTORY,open,
13.255,2467.00,26.9,REFRACTORY,open,
13.314,2228.49,30.8,REFRACTORY,open,
13.360,1968.35,34.5,REFRACTORY,open,
13.400,1723.59,33.4,REFRACTORY,open,
13.456,1393.77,31.9,REFRACTORY,open,
13.507,1170.71,32.1,REFRACTORY,open,
13.547,1095.57,31.2,REFRACTORY,open,
13.594,1045.40,26.8,REFRACTORY,open,
13.640,1043.67,24.7,REFRACTORY,open,
13.686,1030.02,20.7,REFRACTORY,open,
13.734,1013.83,20.7,REFRACTORY,open,
13.779,1002.47,21.5,REFRACTORY,open,
13.830,988.98,20.3,REFRACTORY,open,
13.871,979.82,19.0,REFRACTORY,open,
13.920,974.44,17.9,REFRACTORY,open,
13.965,973.15,16.2,IDLE,open,
14.010,960.19,13.6,IDLE,open,
14.056,957.34,13.8,IDLE,open,
14.104,958.02,14.2,IDLE,open,
14.156,962.21,14.4,IDLE,open,
14.198,960.35,15.5,IDLE,open,
14.247,959.19,15.2,IDLE,open,
14.292,962.77,13.6,IDLE,open,
14.339,947.70,13.1,IDLE,open,
14.384,942.02,9.1,IDLE,open,
14.430,939.93,3.7,IDLE,open,
14.481,932.89,4.3,IDLE,open,
14.522,933.49,4.7,IDLE,open,
14.571,921.79,5.4,IDLE,open,
14.615,925.34,7.2,IDLE,open,
14.662,963.67,9.9,IDLE,open,
14.708,1013.35,11.9,IDLE,open,
14.755,1006.16,12.9,IDLE,open,
14.807,997.54,17.3,IDLE,open,
14.849,986.35,20.5,IDLE,open,
14.896,981.49,25.2,IDLE,open,
14.941,988.31,28.3,IDLE,open,
15.004,1036.57,32.9,IDLE,open,
15.038,1059.44,34.7,IDLE,open,
15.094,1075.79,38.5,IDLE,open,
15.141,1092.49,38.7,IDLE,open,
15.187,1084.40,40.6,PULSE,open,
15.239,1077.56,43.1,PULSE,open,
15.281,1071.24,43.9,PULSE,open,
15.328,1064.04,42.9,PULSE,open,
15.374,1075.21,44.2,PULSE,open,
15.420,1079.24,45.4,PULSE,open,
15.468,1082.66,44.3,PULSE,open,
15.514,1084.26,43.0,PULSE,open,
15.566,1069.67,39.1,PULSE,open,
15.608,1082.76,39.2,PULSE,open,
15.655,1095.94,38.0,PULSE,open,
15.701,1084.04,35.9,PULSE,open,
15.738,1075.09,35.0,PULSE,open,
15.791,1076.05,32.6,PULSE,open,
15.838,1074.73,30.7,PULSE,open,
15.889,1088.28,30.0,PULSE,open,
15.930,1098.71,29.1,PULSE,open,
15.978,1105.35,26.9,PULSE,open,
16.023,1095.77,25.1,PULSE,open,
16.069,1110.12,21.7,REFRACTORY,open,
16.116,1099.29,20.8,REFRACTORY,open,
16.162,1096.69,20.9,REFRACTORY,open,
16.213,1112.45,18.9,REFRACTORY,open,
16.256,1081.62,15.2,REFRACTORY,open,
16.304,1042.75,12.8,REFRACTORY,open,
16.349,994.05,10.4,REFRACTORY,open,
16.395,991.32,9.4,REFRACTORY,open,
16.441,970.59,8.1,REFRACTORY,open,
16.502,942.92,7.6,REFRACTORY,open,
16.549,931.79,7.5,REFRACTORY,open,
16.595,915.81,7.0,REFRACTORY,open,
16.635,900.04,6.4,REFRACTORY,open,
16.680,900.21,6.7,REFRACTORY,open,
16.737,880.55,7.9,REFRACTORY,open,
16.771,862.11,8.3,REFRACTORY,open,
16.827,854.98,9.9,REFRACTORY,open,
16.863,852.93,10.6,REFRACTORY,open,
16.919,879.92,12.4,REFRACTORY,open,
16.972,917.00,12.9,REFRACTORY,open,
17.014,944.92,14.7,REFRACTORY,open,
17.054,976.70,14.3,REFRACTORY,open,
17.104,1012.39,15.9,REFRACTORY,open,
17.150,1024.57,15.4,REFRACTORY,open,
17.198,1042.64,12.2,REFRACTORY,open,
17.246,1068.11,13.0,REFRACTORY,open,
17.296,1067.80,15.4,REFRACTORY,open,
17.338,1077.95,15.5,REFRACTORY,open,
17.386,1079.46,18.8,REFRACTORY,open,
17.431,1085.66,26.0,REFRACTORY,open,
17.477,1085.96,27.7,REFRACTORY,open,
17.524,1098.74,29.6,REFRACTORY,open,
17.571,1095.44,30.1,REFRACTORY,open,
17.623,1088.98,29.1,REFRACTORY,open,
17.666,1092.62,26.9,REFRACTORY,open,
17.714,1090.86,23.3,REFRACTORY,open,
17.761,1091.19,21.7,REFRACTORY,open,
17.807,1111.08,17.1,REFRACTORY,open,
17.853,1089.66,10.5,REFRACTORY,open,
17.900,1085.09,7.5,REFRACTORY,open,
17.952,1082.57,8.1,REFRACTORY,open,
17.992,1084.66,10.7,IDLE,open,
18.041,1106.43,12.8,IDLE,open,
18.085,1119.23,14.5,IDLE,open,
18.132,1124.32,16.8,IDLE,open,
18.179,1158.44,18.1,IDLE,open,
18.284,1188.90,24.1,IDLE,open,
18.319,1191.78,26.3,IDLE,open,
18.365,1207.09,27.4,IDLE,open,
18.411,1217.73,29.6,IDLE,open,
18.458,1222.37,31.4,IDLE,open,
18.511,1241.16,33.8,IDLE,open,
18.552,1231.88,29.6,IDLE,open,
18.601,1224.92,31.8,IDLE,open,
18.647,1217.75,31.6,IDLE,open,
18.693,1203.74,33.5,IDLE,open,
18.741,1190.33,30.4,IDLE,open,
18.786,1183.58,31.4,IDLE,open,
18.838,1175.94,31.8,IDLE,open,
18.880,1184.08,31.5,IDLE,open,
18.928,1182.48,32.0,IDLE,open,
18.974,1166.48,30.7,IDLE,open,
19.019,1155.06,26.5,IDLE,open,
19.066,1142.99,23.9,IDLE,open,
19.114,1132.40,22.1,IDLE,open,
19.166,1116.27,17.2,IDLE,open,
19.207,1087.06,16.6,IDLE,open,
19.257,1062.16,16.0,IDLE,open,
19.302,1022.52,14.3,IDLE,open,
19.349,1019.12,14.7,IDLE,open,
19.396,1011.81,15.3,IDLE,open,
19.443,1006.67,14.2,IDLE,open,
19.495,1012.39,14.3,IDLE,open,
19.536,1009.35,14.2,IDLE,open,
19.584,971.07,11.3,IDLE,open,
19.629,977.34,12.0,IDLE,open,
19.676,990.27,12.0,IDLE,open,
19.738,1003.16,11.1,IDLE,open,
19.800,1007.75,10.1,IDLE,open,
19.839,994.95,9.9,IDLE,open,
19.893,974.68,9.7,IDLE,open,
19.938,966.89,9.8,IDLE,open,
19.985,955.94,11.7,IDLE,open,
20.038,942.70,10.6,IDLE,open,
20.079,933.80,11.2,IDLE,open,
20.127,930.44,13.2,IDLE,open,
20.167,925.49,11.7,IDLE,open,
20.219,923.90,15.1,IDLE,open,
20.264,929.25,15.0,IDLE,open,
20.311,936.82,14.4,IDLE,open,
20.363,942.05,14.2,IDLE,open,
20.394,972.58,14.7,IDLE,open,
20.452,987.52,15.6,IDLE,open,
20.493,975.96,15.8,IDLE,open,
20.543,973.37,16.0,IDLE,open,
20.590,1005.60,15.6,IDLE,open,
20.636,1007.66,14.8,IDLE,open,
20.687,1007.89,13.6,IDLE,open,
20.728,996.91,11.4,IDLE,open,
20.775,1007.02,10.8,IDLE,open,
20.818,1000.03,9.1,IDLE,open,
20.866,998.10,7.5,IDLE,open,
20.914,1017.82,6.7,IDLE,open,
20.960,1013.95,5.9,IDLE,open,
21.011,1028.04,5.1,IDLE,open,
21.053,1066.79,4.4,IDLE,open,
21.100,1146.50,2.5,IDLE,open,
21.152,1219.48,4.3,IDLE,open,
21.191,1214.35,4.9,IDLE,open,
21.253,1259.59,5.8,IDLE,open,
21.300,1254.55,7.8,IDLE,open,
21.346,1252.74,10.0,IDLE,open,
21.394,1247.55,10.8,IDLE,open,
21.444,1248.47,11.9,IDLE,open,
21.485,1249.51,14.1,IDLE,open,
21.521,1254.27,14.2,IDLE,open,
21.578,1257.72,14.6,IDLE,open,
21.623,1259.61,14.1,IDLE,open,
21.670,1256.28,15.1,IDLE,open,
21.715,1256.20,14.5,IDLE,open,
21.768,1253.49,12.9,IDLE,open,
21.810,1259.73,12.0,IDLE,open,
21.859,1255.01,12.5,IDLE,open,
21.904,1250.23,11.0,IDLE,open,
21.949,1244.35,9.8,IDLE,open,
21.994,1232.32,8.2,IDLE,open,
22.041,1224.13,7.5,IDLE,open,
22.092,1226.39,6.6,IDLE,open,
22.133,1226.60,5.4,IDLE,open,
22.181,1231.37,3.2,IDLE,open,
22.227,1219.55,4.1,IDLE,open,
22.271,1223.19,5.0,IDLE,open,
22.320,1215.31,6.5,IDLE,open,
22.366,1219.08,7.7,IDLE,open,
22.417,1210.90,9.5,IDLE,open,
22.459,1227.08,9.6,IDLE,open,
22.507,1204.96,11.1,IDLE,open,
22.552,1245.09,12.1,IDLE,open,
22.599,1243.87,12.9,IDLE,open,
22.645,1279.09,14.2,IDLE,open,
22.691,1333.23,14.5,IDLE,open,
22.752,1337.55,15.8,IDLE,open,
22.799,1339.08,15.8,IDLE,open,
22.833,1340.34,15.6,IDLE,open,
22.893,1339.30,17.1,IDLE,open,
22.941,1343.61,21.0,IDLE,open,
22.976,1340.75,22.5,IDLE,open,
23.032,1339.94,27.1,IDLE,open,
23.078,1310.20,29.2,IDLE,open,
23.125,1294.37,29.4,IDLE,open,
23.161,1277.36,31.0,IDLE,open,
23.281,1252.42,27.5,IDLE,open,
23.308,1239.93,25.6,IDLE,open,
23.344,1228.84,22.6,IDLE,open,
23.394,1227.67,19.9,IDLE,open,
23.437,1228.63,15.6,IDLE,open,
23.485,1234.01,13.3,IDLE,open,
23.530,1190.52,10.4,IDLE,open,
23.569,1178.27,8.7,IDLE,open,
23.623,1174.10,10.7,IDLE,open,
23.668,1169.73,11.4,IDLE,open,
23.717,1166.64,13.6,IDLE,open,
23.754,1169.86,14.2,IDLE,open,
23.809,1168.93,16.7,IDLE,open,
23.853,1166.43,13.9,IDLE,open,
23.900,1163.22,17.2,IDLE,open,
23.947,1168.23,18.2,IDLE,open,
23.993,1177.19,18.5,IDLE,open,
24.040,1174.21,18.8,IDLE,open,
24.084,1166.90,19.8,IDLE,open,
24.132,1173.40,20.4,IDLE,open,
24.177,1160.20,23.2,IDLE,open,
24.226,1154.74,22.9,IDLE,open,
24.274,1149.11,21.5,IDLE,open,
24.318,1147.51,22.4,IDLE,open,
24.369,1149.75,23.1,IDLE,open,
24.411,1143.24,21.6,IDLE,open,
24.458,1141.18,22.9,IDLE,open,
24.519,1146.67,19.6,IDLE,open,
24.565,1141.31,19.5,IDLE,open,
24.610,1144.60,19.3,IDLE,open,
24.656,1121.20,15.9,IDLE,open,
24.704,1135.44,14.5,IDLE,open,
24.746,1120.10,14.9,IDLE,open,
24.799,1090.82,12.9,IDLE,open,
24.842,1074.36,12.2,IDLE,open,
24.890,1065.04,14.1,IDLE,open,
24.936,1051.96,15.0,IDLE,open,
24.984,1044.79,14.0,IDLE,open,
25.033,1060.98,14.3,IDLE,open,
25.078,1066.41,15.0,IDLE,open,
25.127,1101.62,15.2,IDLE,open,
25.160,1099.16,13.4,IDLE,open,
25.217,1098.34,13.3,IDLE,open,
25.262,1068.76,11.2,IDLE,open,
25.310,1081.74,9.7,IDLE,open,
25.360,1090.98,9.2,IDLE,open,
25.403,1113.98,7.5,IDLE,open,
25.453,1120.49,7.0,IDLE,open,
25.495,1115.00,6.3,IDLE,open,
25.543,1107.92,4.5,IDLE,open,
25.583,1100.32,4.0,IDLE,open,
25.633,1091.58,4.1,IDLE,open,
25.682,1081.77,4.4,IDLE,open,
25.726,1072.38,5.4,IDLE,open,
25.776,1062.31,7.1,IDLE,open,
25.820,1053.21,6.9,IDLE,open,
25.869,1042.81,10.0,IDLE,open,
25.914,1046.33,11.3,IDLE,open,
25.961,1045.86,12.1,IDLE,open,
26.011,1049.67,14.2,IDLE,open,
26.055,1045.06,15.0,IDLE,open,
26.106,1044.67,14.8,IDLE,open,
26.150,1048.93,14.7,IDLE,open,
26.198,1062.73,14.4,IDLE,open,
26.247,1069.24,15.0,IDLE,open,
26.289,1073.46,13.9,IDLE,open,
26.338,1070.26,13.9,IDLE,open,
26.384,1076.92,13.3,IDLE,open,
26.437,1079.07,13.8,IDLE,open,
26.478,1144.90,16.9,IDLE,open,
26.526,1171.91,19.4,IDLE,open,
26.570,1181.75,26.6,IDLE,open,
26.614,1221.46,30.6,IDLE,open,
26.664,1225.60,34.4,IDLE,open,
26.709,1216.66,37.9,IDLE,open,
26.757,1224.19,41.9,PULSE,open,
26.801,1229.43,45.4,PULSE,open,
26.865,1229.84,46.8,PULSE,open,
26.910,1234.52,45.4,PULSE,open,
26.976,1230.31,45.1,PULSE,open,
27.019,1190.79,42.1,PULSE,open,
27.083,1158.33,37.7,PULSE,open,
27.128,1133.70,32.8,PULSE,open,
27.176,1140.47,27.5,PULSE,open,
27.208,1136.98,23.9,REFRACTORY,open,
27.266,1144.14,16.8,REFRACTORY,open,
27.317,1124.69,15.3,REFRACTORY,open,
27.377,1080.53,13.6,REFRACTORY,open,
27.425,1076.50,13.6,REFRACTORY,open,
27.471,1057.84,12.5,REFRACTORY,open,
27.505,1051.84,13.3,REFRACTORY,open,
27.563,1027.46,16.2,REFRACTORY,open,
27.606,1033.42,22.1,REFRACTORY,open,
27.657,1034.99,26.9,REFRACTORY,open,
27.691,1027.61,29.0,REFRACTORY,open,
27.753,1036.14,30.4,REFRACTORY,open,
27.796,1040.65,33.4,REFRACTORY,open,
27.847,1049.62,33.5,REFRACTORY,open,
27.881,1067.14,34.9,REFRACTORY,open,
27.939,1085.29,35.6,REFRACTORY,open,
27.986,1098.60,36.5,REFRACTORY,open,
28.024,1099.14,36.4,REFRACTORY,open,
28.081,1108.57,37.9,REFRACTORY,open,
28.113,1110.41,37.3,REFRACTORY,open,
28.175,1104.35,36.3,REFRACTORY,open,
28.270,1098.10,36.5,REFRACTORY,open,
28.311,1077.04,33.5,REFRACTORY,open,
28.336,1063.22,32.0,REFRACTORY,open,
28.393,1049.63,30.7,REFRACTORY,open,
28.426,1054.09,29.4,REFRACTORY,open,
28.483,1034.41,24.9,REFRACTORY,open,
28.527,1033.00,24.7,REFRACTORY,open,
28.573,1037.82,23.0,REFRACTORY,open,
28.621,1038.23,21.5,REFRACTORY,open,
28.666,1040.85,18.1,REFRACTORY,open,
28.718,1047.21,16.2,REFRACTORY,open,
28.762,1052.09,14.6,REFRACTORY,open,
28.810,1011.01,12.3,REFRACTORY,open,
28.856,1011.61,12.4,REFRACTORY,open,
28.900,975.35,10.5,REFRACTORY,open,
28.945,949.14,7.5,IDLE,open,
28.994,934.01,4.9,IDLE,open,
29.044,925.16,5.5,IDLE,open,
29.088,915.19,7.2,IDLE,open,
29.135,909.46,7.2,IDLE,open,
29.182,906.81,7.5,IDLE,open,
29.228,944.91,8.9,IDLE,open,
29.276,945.80,12.0,IDLE,open,
29.321,934.39,10.5,IDLE,open,
29.372,931.75,13.0,IDLE,open,
29.414,927.22,14.6,IDLE,open,
29.462,920.12,15.1,IDLE,open,
29.508,916.00,15.6,IDLE,open,
29.556,908.56,15.4,IDLE,open,
29.602,910.70,14.8,IDLE,open,
29.649,939.62,15.2,IDLE,open,
29.699,950.79,14.9,IDLE,open,
29.741,968.93,14.3,IDLE,open,
29.789,998.18,15.8,IDLE,open,
29.834,1008.68,16.3,IDLE,open,
29.882,1037.64,15.1,IDLE,open,
29.933,1046.58,16.9,IDLE,open,
29.978,1036.90,16.3,IDLE,open,
30.025,1041.23,15.6,IDLE,open,
30.070,1060.41,15.7,IDLE,open,
30.119,1066.55,15.5,IDLE,open,
30.165,1063.37,13.4,IDLE,open,
30.211,1069.95,12.5,IDLE,open,
30.259,1064.00,12.3,IDLE,open,
30.303,1045.41,8.4,IDLE,open,
30.356,1040.69,6.3,IDLE,open,
30.398,1032.04,8.3,IDLE,open,
30.447,1036.81,8.9,IDLE,open,
30.491,1049.86,10.5,IDLE,open,
30.538,1096.67,11.5,IDLE,open,
30.587,1104.98,12.3,IDLE,open,
30.632,1212.69,12.8,IDLE,open,
30.684,1243.91,13.8,IDLE,open,
30.727,1272.50,15.2,IDLE,open,
30.775,1280.63,16.1,IDLE,open,
30.816,1280.60,14.7,IDLE,open,
30.865,1281.46,13.9,IDLE,open,
30.913,1278.08,17.2,IDLE,open,
