t_s,dtw_relaxed,dtw_close,dtw_open,env,fsm,gripper,fired
0.428,600.78,6337.15,1152.16,95.1,IDLE,open,
0.477,636.95,6037.89,1013.47,104.8,IDLE,open,
0.519,671.36,6025.55,1118.29,105.5,IDLE,open,
0.572,725.81,5944.92,1159.75,103.9,IDLE,open,
0.621,783.90,5696.74,1232.77,114.5,IDLE,open,
0.659,815.88,5653.37,1201.06,112.5,IDLE,open,
0.712,842.38,5717.94,1195.45,92.0,IDLE,open,
0.761,886.20,5830.00,1204.62,79.2,IDLE,open,
0.806,892.51,5987.17,1228.29,70.5,IDLE,open,
0.853,944.96,6177.77,1281.12,65.7,IDLE,open,
0.900,939.82,6354.45,1330.20,62.8,IDLE,open,
0.948,995.24,6457.46,1379.38,63.1,IDLE,open,
0.988,990.20,6508.20,1402.79,59.7,IDLE,open,
1.040,1024.83,6584.77,1454.00,48.5,IDLE,open,
1.088,911.27,6741.17,1586.79,36.8,IDLE,open,
1.131,601.90,6980.48,1809.87,17.3,IDLE,open,
1.180,668.06,7423.14,2085.37,8.3,IDLE,open,
1.226,626.45,7729.65,2311.55,26.6,IDLE,open,
1.269,702.86,7584.84,2422.95,44.2,IDLE,open,
1.323,680.75,7207.06,1861.59,72.4,IDLE,open,
1.369,760.52,6823.88,1577.97,86.6,IDLE,open,
1.416,869.31,6325.82,1349.57,99.4,IDLE,open,
1.460,810.00,6054.42,1208.92,106.6,IDLE,open,
1.506,849.15,5825.07,1112.34,111.9,IDLE,open,
1.552,825.72,5702.81,1018.82,110.5,IDLE,open,
1.601,891.60,5644.70,965.18,106.8,IDLE,open,
1.643,839.49,5665.58,919.02,100.6,IDLE,open,
1.691,949.79,5712.57,855.71,95.1,IDLE,open,
1.740,902.23,5819.67,942.59,80.9,IDLE,open,
1.786,972.65,5986.43,1169.47,63.6,IDLE,open,
1.833,995.74,6212.46,1307.44,49.1,IDLE,open,
1.878,972.38,6455.00,1516.76,29.5,IDLE,open,
1.927,926.74,6794.89,1786.16,12.1,IDLE,open,
1.975,867.85,7130.57,2044.39,12.1,IDLE,open,
2.018,897.72,7342.59,2200.98,25.2,IDLE,open,
2.068,814.22,7555.83,2320.29,37.4,IDLE,open,
2.114,910.40,7373.62,2375.89,50.7,IDLE,open,
2.161,765.98,7178.73,2120.86,64.0,IDLE,open,
2.209,937.52,7158.82,1789.73,70.3,IDLE,open,
2.259,808.70,6970.45,1467.80,77.5,IDLE,open,
2.306,1010.56,6528.12,1247.55,87.2,IDLE,open,
2.348,951.00,6256.96,1130.51,93.6,IDLE,open,
2.398,1055.47,6179.31,1107.00,94.6,IDLE,open,
2.441,1076.48,6136.62,1061.28,95.7,IDLE,open,
2.490,1088.24,6067.15,1014.66,99.5,IDLE,open,
2.536,1155.73,5972.16,1021.74,104.0,IDLE,open,
2.585,1120.07,5826.44,1123.20,110.0,IDLE,open,
2.633,1236.18,5731.77,1238.65,115.6,IDLE,open,
2.678,1134.49,5645.91,1301.54,118.2,IDLE,open,
2.724,1301.40,5577.95,1356.52,123.7,IDLE,open,
2.768,1204.21,5598.22,1372.17,122.1,IDLE,open,
2.816,1407.53,5599.22,1415.09,121.0,IDLE,open,
2.867,1342.69,5575.99,1413.91,119.0,IDLE,open,
2.910,1486.04,5540.00,1437.21,121.2,IDLE,open,
2.958,1477.96,5525.83,1473.12,119.8,IDLE,open,
3.002,1521.33,5503.49,1501.93,118.0,IDLE,open,
3.051,1596.08,5480.03,1544.54,118.0,IDLE,open,
3.095,1562.21,5497.47,1541.17,110.9,IDLE,open,
3.142,1658.79,5544.11,1537.84,106.8,IDLE,open,
3.190,1549.83,5639.58,1549.58,99.9,IDLE,open,
3.238,1697.70,5736.53,1532.76,93.3,IDLE,open,
3.286,1576.66,5835.49,1522.06,88.5,IDLE,open,
3.328,1751.84,5939.70,1508.93,82.0,IDLE,open,
3.377,1661.82,6043.56,1518.63,74.6,IDLE,open,
3.423,1767.94,6146.67,1517.59,72.4,IDLE,open,
3.469,1747.51,6242.20,1519.46,69.0,IDLE,open,
3.516,1777.74,6352.38,1543.99,61.9,IDLE,open,
3.565,1829.69,6503.77,1562.25,56.8,IDLE,open,
3.614,1794.56,6673.93,1624.56,49.4,IDLE,open,
3.674,1753.31,6885.69,1721.38,44.9,IDLE,open,
3.707,1707.14,7043.39,1817.47,41.1,IDLE,open,
3.765,1601.27,7275.89,1952.03,35.8,IDLE,open,
3.796,1438.63,7433.62,2054.46,32.7,IDLE,open,
3.859,1480.11,7592.49,2255.07,28.3,IDLE,open,
3.895,1214.94,7663.99,2341.99,22.5,IDLE,open,
3.954,1324.12,7830.69,2526.69,15.3,IDLE,open,
4.003,1227.74,8006.03,2638.38,9.4,IDLE,open,
4.049,1432.61,8131.64,2729.99,6.0,IDLE,open,
4.097,1398.28,8229.47,2819.93,8.1,IDLE,open,
4.145,1386.47,8303.40,2894.46,14.4,IDLE,open,
4.185,1386.65,8352.84,2909.54,18.5,IDLE,open,
4.235,1354.22,8420.82,2907.48,21.2,IDLE,open,
4.272,1364.86,8406.58,2900.21,21.8,IDLE,open,
4.313,1315.27,8287.72,2858.85,23.2,IDLE,open,
4.361,1322.66,8232.75,2859.98,22.7,IDLE,open,
4.421,1286.45,8204.93,2859.14,23.0,IDLE,open,
4.461,1266.23,8204.20,2837.67,21.7,IDLE,open,
4.515,1233.24,8221.40,2801.55,15.2,IDLE,open,
4.552,1201.18,8241.79,2795.96,11.2,IDLE,open,
4.599,1196.18,8284.70,2795.70,6.7,IDLE,open,
4.660,1127.09,8398.96,2849.60,3.8,IDLE,open,
4.708,1065.85,8467.52,2900.58,8.6,IDLE,open,
4.764,1044.92,8517.57,2938.31,13.3,IDLE,open,
4.884,978.50,8152.87,2806.14,27.5,IDLE,open,
4.939,1002.84,8011.36,2687.79,31.0,IDLE,open,
5.000,933.53,7881.77,2532.87,35.2,IDLE,open,
5.036,935.69,7827.45,2422.89,38.2,IDLE,open,
5.096,936.37,7627.50,2070.82,47.1,PULSE,open,
5.134,913.35,7571.21,1965.92,49.9,PULSE,open,
5.174,974.55,7520.75,1866.05,51.9,PULSE,open,
5.237,1037.66,7463.38,1740.15,54.2,PULSE,open,
5.275,1085.40,7480.23,1717.41,54.1,PULSE,open,
5.327,1059.12,7465.07,1706.29,54.2,PULSE,open,
5.363,1085.23,7434.87,1706.34,54.6,PULSE,open,
5.420,1037.03,7378.55,1711.73,55.5,PULSE,open,
5.458,1050.79,7354.00,1730.53,52.9,PULSE,open,
5.518,996.26,7358.71,1790.06,50.0,PULSE,open,
5.557,985.99,7393.25,1846.26,48.6,PULSE,open,
5.608,944.82,7435.94,1892.26,47.8,PULSE,open,
5.648,912.01,7455.89,1932.28,45.8,PULSE,open,
5.702,880.06,7504.03,1988.17,42.1,PULSE,open,
5.740,855.30,7536.05,2041.59,37.7,PULSE,open,
5.794,827.98,7595.93,2134.57,34.8,PULSE,open,
5.829,778.21,7644.96,2203.44,29.8,PULSE,open,
5.891,798.54,7753.38,2306.15,25.8,PULSE,open,
5.929,750.00,7823.87,2353.67,27.8,PULSE,open,
5.981,829.08,7923.89,2434.16,23.8,REFRACTORY,open,
6.017,809.76,7960.34,2495.10,24.7,REFRACTORY,open,
6.077,942.81,7999.06,2567.15,21.7,REFRACTORY,open,
6.113,1057.53,8023.10,2600.67,23.1,REFRACTORY,open,
6.174,1186.65,8076.32,2624.00,22.7,REFRACTORY,open,
6.209,1188.53,8123.56,2627.11,20.6,REFRACTORY,open,
6.265,1183.01,8196.92,2631.52,20.4,REFRACTORY,open,
6.301,1194.39,8246.90,2650.27,15.1,REFRACTORY,open,
6.360,1175.78,8335.18,2723.66,5.4,REFRACTORY,open,
6.409,1173.67,8406.77,2812.67,3.7,REFRACTORY,open,
6.454,1161.85,8469.54,2875.59,5.2,REFRACTORY,open,
6.504,1134.41,8506.92,2930.89,11.5,REFRACTORY,open,
6.549,1082.34,8530.65,2958.31,17.1,REFRACTORY,open,
6.601,1070.77,8311.75,2916.09,23.6,REFRACTORY,open,
6.640,1021.01,8199.24,2824.83,26.5,REFRACTORY,open,
6.687,996.88,8080.01,2721.68,29.6,REFRACTORY,open,
6.736,950.19,7962.59,2593.82,34.3,REFRACTORY,open,
6.796,902.35,7904.75,2533.61,35.3,REFRACTORY,open,
6.832,853.61,7910.79,2507.29,33.2,REFRACTORY,open,
6.889,812.40,7892.88,2438.55,32.5,REFRACTORY,open,
6.923,772.00,7880.77,2396.01,31.1,REFRACTORY,open,
6.984,722.75,7901.46,2364.38,23.6,REFRACTORY,open,
7.022,687.69,7950.23,2372.17,22.7,REFRACTORY,open,
7.077,656.78,8013.71,2423.66,16.7,REFRACTORY,open,
7.113,584.70,8079.73,2504.14,10.9,REFRACTORY,open,
7.165,565.19,8177.54,2636.44,8.0,REFRACTORY,open,
7.220,504.69,8308.60,2777.41,5.4,REFRACTORY,open,
7.272,481.96,8412.04,2872.80,6.9,REFRACTORY,open,
7.311,451.10,8496.99,2941.66,7.5,REFRACTORY,open,
7.364,397.33,8579.44,2983.49,13.8,REFRACTORY,open,
7.414,346.66,8528.70,3001.24,17.7,REFRACTORY,open,
7.455,336.31,8384.98,3007.48,19.6,REFRACTORY,open,
7.505,303.25,8164.94,2901.21,26.1,REFRACTORY,open,
7.545,276.00,8094.62,2836.70,27.9,REFRACTORY,open,
7.598,270.30,7994.69,2695.63,31.4,REFRACTORY,open,
7.649,242.90,7927.44,2558.34,33.4,REFRACTORY,open,
7.685,251.16,7891.97,2477.58,35.7,REFRACTORY,open,
7.721,247.58,7442.93,1819.16,43.3,REFRACTORY,open,
