t_s,dtw_relaxed,dtw_close,dtw_open,env,fsm,gripper,fired
0.412,312.82,4288.13,729.95,24.7,IDLE,open,
0.461,331.67,4189.32,738.84,29.5,IDLE,open,
0.491,337.86,4012.86,719.76,34.7,IDLE,open,
0.525,352.48,3921.58,762.15,40.1,IDLE,open,
0.572,364.89,3855.41,742.96,41.8,IDLE,open,
0.620,380.52,3799.54,770.05,45.7,IDLE,open,
0.665,398.44,3753.55,821.57,46.3,IDLE,open,
0.712,415.45,3716.42,858.31,47.0,IDLE,open,
0.757,440.72,3660.76,863.94,50.7,IDLE,open,
0.809,453.47,3587.45,881.22,56.5,IDLE,open,
0.851,490.46,3564.43,909.50,59.3,IDLE,open,
0.899,511.60,3518.71,938.25,65.2,IDLE,open,
0.946,549.98,3474.38,973.25,72.3,IDLE,open,
0.990,577.03,3430.61,1026.43,78.3,IDLE,open,
1.036,622.23,3406.21,1080.29,88.1,IDLE,open,
1.084,658.30,3375.36,1132.25,98.4,IDLE,open,
1.135,708.69,3380.17,1226.16,108.6,IDLE,open,
1.176,758.47,3383.72,1327.84,114.7,IDLE,open,
1.222,808.51,3370.71,1441.80,122.7,IDLE,open,
1.273,865.85,3396.92,1609.82,126.7,IDLE,open,
1.316,918.95,3406.79,1735.37,130.2,IDLE,open,
1.364,962.71,3405.05,1850.71,132.8,IDLE,open,
1.410,1030.13,3400.47,1989.09,132.5,IDLE,open,
1.459,1090.26,3376.22,2132.69,128.9,IDLE,open,
1.518,1152.53,3356.17,2331.45,127.0,IDLE,open,
1.569,1147.81,3282.86,2231.41,120.4,IDLE,open,
1.598,1234.63,3237.47,2144.70,116.5,IDLE,open,
1.658,1284.38,3097.43,1879.31,104.3,IDLE,open,
1.690,1278.04,3004.86,1722.84,95.7,IDLE,open,
1.752,1351.45,2904.02,1533.83,85.0,IDLE,open,
1.801,1336.96,2785.56,1287.52,69.7,IDLE,open,
1.845,1394.72,2703.45,1142.42,59.9,IDLE,open,
1.897,1164.72,2668.05,952.43,45.9,IDLE,open,
1.939,970.28,2684.84,928.79,36.3,IDLE,open,
1.987,783.72,2729.99,982.02,25.7,IDLE,open,
2.035,712.22,2810.35,1081.47,17.0,IDLE,open,
2.079,722.00,2890.91,1133.79,7.3,IDLE,open,
2.128,722.00,2978.34,1201.80,2.2,IDLE,open,
2.173,704.52,3031.24,1264.01,6.5,IDLE,open,
2.225,676.72,3036.90,1294.78,16.5,IDLE,open,
2.254,662.40,3040.24,1294.45,19.9,IDLE,open,
2.314,654.09,3061.21,1311.41,24.6,IDLE,open,
