t_s,dtw_relaxed,dtw_close,dtw_open,env,fsm,gripper,fired
0.430,594.95,6533.78,1217.14,86.6,IDLE,open,
0.480,625.53,6492.37,1118.49,86.7,IDLE,open,
0.535,674.87,6404.47,1296.57,90.0,IDLE,open,
0.584,702.17,6316.23,1298.36,91.3,IDLE,open,
0.629,750.09,6261.22,1314.04,91.4,IDLE,open,
0.669,778.53,6248.11,1356.03,87.5,IDLE,open,
0.720,812.72,6257.05,1403.08,85.9,IDLE,open,
0.768,848.49,6293.03,1434.38,82.5,IDLE,open,
0.812,869.31,6339.36,1467.10,80.2,IDLE,open,
0.863,926.97,6332.53,1496.89,86.5,IDLE,open,
0.912,919.53,6326.56,1534.24,86.3,IDLE,open,
0.956,1000.50,6329.29,1536.13,81.7,IDLE,open,
1.001,1015.02,6350.27,1561.22,84.1,IDLE,open,
1.045,1058.93,6380.80,1559.58,82.6,IDLE,open,
1.092,1081.20,6396.88,1539.62,81.7,IDLE,open,
1.140,1114.49,6457.16,1528.21,79.3,IDLE,open,
1.186,1147.05,6468.46,1534.41,74.9,IDLE,open,
1.235,1166.56,6487.22,1541.66,74.0,IDLE,open,
1.279,1201.04,6541.35,1564.54,70.7,IDLE,open,
1.325,1209.72,6609.25,1618.04,68.0,IDLE,open,
1.372,1254.82,6668.40,1669.91,70.9,IDLE,open,
1.420,1250.95,6697.65,1669.97,71.9,IDLE,open,
1.465,1304.11,6735.40,1690.94,69.2,IDLE,open,
1.514,1313.92,6795.95,1720.38,67.1,IDLE,open,
1.563,1351.08,6859.41,1704.16,66.8,IDLE,open,
1.605,1362.47,6910.95,1699.23,68.0,IDLE,open,
1.654,1397.75,6929.69,1700.14,69.0,IDLE,open,
1.701,1414.36,6949.62,1686.63,67.5,IDLE,open,
1.743,1444.82,6949.61,1638.19,69.1,IDLE,open,
1.797,1480.33,6921.77,1585.58,73.9,IDLE,open,
1.843,1507.39,6922.14,1602.21,73.2,IDLE,open,
1.890,1547.32,6905.82,1552.40,77.0,IDLE,open,
1.935,1545.86,6876.21,1523.41,76.4,IDLE,open,
1.981,1617.19,6828.66,1501.52,77.5,IDLE,open,
2.026,1622.28,6792.32,1501.19,76.9,IDLE,open,
2.073,1577.21,6757.13,1506.19,79.0,IDLE,open,
2.122,1689.56,6689.42,1510.54,79.4,IDLE,open,
2.168,1596.90,6557.26,1475.81,83.9,IDLE,open,
2.218,1696.54,6515.92,1478.20,84.0,IDLE,open,
2.263,1591.72,6508.52,1486.93,82.1,IDLE,open,
2.308,1723.95,6470.33,1482.49,84.5,IDLE,open,
2.354,1643.97,6469.98,1488.01,81.7,IDLE,open,
2.400,1711.00,6474.66,1485.41,79.6,IDLE,open,
2.448,1707.05,6461.32,1494.87,83.7,IDLE,open,
2.495,1746.88,6458.80,1494.45,81.2,IDLE,open,
2.543,1773.99,6461.20,1507.03,81.8,IDLE,open,
2.602,1729.68,6479.10,1520.16,77.5,IDLE,open,
2.637,1781.75,6513.61,1549.68,76.0,IDLE,open,
2.698,1762.40,6548.62,1554.30,75.2,IDLE,open,
2.764,1685.68,6589.28,1584.51,75.1,IDLE,open,
2.822,1765.68,6623.32,1623.75,72.4,IDLE,open,
2.866,1697.52,6637.04,1634.08,72.8,IDLE,open,
2.912,1728.10,6698.94,1681.93,67.3,IDLE,open,
2.958,1767.73,6742.96,1701.11,67.8,IDLE,open,
3.004,1745.11,6794.88,1724.14,66.8,IDLE,open,
3.052,1669.51,6879.69,1733.53,62.1,IDLE,open,
3.098,1646.75,6918.70,1738.52,63.2,IDLE,open,
3.145,1689.44,6975.95,1747.49,61.4,IDLE,open,
3.185,1542.07,7008.28,1751.17,62.0,IDLE,open,
3.239,1599.55,7066.59,1768.78,60.2,IDLE,open,
3.276,1578.00,7094.03,1750.42,62.0,IDLE,open,
3.332,1606.00,7145.09,1741.28,59.8,IDLE,open,
3.372,1589.38,7159.36,1735.29,60.6,IDLE,open,
3.428,1527.69,7192.82,1750.68,58.3,IDLE,open,
3.470,1525.63,7227.10,1756.21,56.9,IDLE,open,
3.509,1440.18,7243.41,1761.33,55.0,IDLE,open,
3.566,1560.57,7263.30,1768.46,59.4,IDLE,open,
3.607,1429.03,7263.39,1751.67,60.8,IDLE,open,
3.658,1563.58,7270.64,1737.21,59.6,IDLE,open,
3.701,1360.29,7268.87,1731.78,60.3,IDLE,open,
3.754,1548.67,7281.45,1748.56,59.2,IDLE,open,
3.794,1390.33,7260.24,1745.21,60.4,IDLE,open,
3.850,1538.98,7236.51,1735.09,59.8,IDLE,open,
3.894,1414.88,7228.12,1712.56,59.2,IDLE,open,
3.940,1533.73,7224.16,1692.37,59.0,PULSE,open,
3.988,1474.39,7235.46,1696.95,58.8,PULSE,open,
4.035,1581.92,7241.95,1679.81,61.6,PULSE,open,
4.084,1716.20,7197.23,1645.35,65.2,PULSE,open,
4.130,1722.89,7181.53,1641.84,65.0,PULSE,open,
4.179,1811.32,7167.20,1635.55,64.5,PULSE,open,
4.223,1745.75,7157.51,1639.52,64.6,PULSE,open,
4.269,1760.54,7172.35,1673.39,56.0,PULSE,open,
4.316,1685.36,7200.96,1723.64,52.6,PULSE,open,
4.362,1595.19,7237.88,1773.80,50.2,PULSE,open,
4.412,1557.58,7282.65,1819.76,47.4,PULSE,open,
4.454,1406.60,7339.47,1884.68,42.7,PULSE,open,
4.496,1352.58,7404.41,1945.28,40.8,PULSE,open,
4.551,1104.06,7540.27,2088.34,31.1,PULSE,open,
4.595,1024.01,7620.90,2202.74,24.3,PULSE,open,
4.637,933.56,7714.67,2336.85,18.6,REFRACTORY,open,
4.680,929.38,7829.13,2485.71,12.2,REFRACTORY,open,
4.739,873.77,8039.12,2629.53,9.1,REFRACTORY,open,
4.787,905.96,8172.84,2750.09,9.1,REFRACTORY,open,
4.830,864.22,8244.72,2845.15,7.4,REFRACTORY,open,
