t_s,dtw_relaxed,dtw_close,dtw_open,env,fsm,gripper,fired
0.421,595.13,2307.87,1647.43,62.8,PULSE,open,
0.494,618.10,2336.66,1640.51,64.7,PULSE,open,
0.534,643.52,2319.13,1632.57,62.3,PULSE,open,
0.572,651.29,2299.42,1651.74,63.7,PULSE,open,
0.619,645.85,2234.06,1659.46,63.8,PULSE,open,
0.670,688.46,2219.02,1659.12,63.4,PULSE,open,
0.712,665.67,2208.84,1652.12,64.8,PULSE,open,
0.763,714.85,2206.15,1651.83,64.9,PULSE,open,
0.805,662.71,2266.89,1646.01,64.8,PULSE,open,
0.851,751.80,2277.08,1636.90,64.5,PULSE,open,
0.898,752.95,2272.95,1631.80,64.5,PULSE,open,
0.945,775.26,2246.88,1605.49,60.7,PULSE,open,
0.997,782.76,2239.82,1598.53,60.7,PULSE,open,
1.038,802.89,2225.59,1593.22,60.4,PULSE,open,
1.088,816.39,2216.44,1584.98,60.2,PULSE,open,
1.144,840.21,2205.05,1556.86,57.3,PULSE,open,
1.195,851.76,2201.92,1543.70,55.3,PULSE,open,
1.237,871.16,2186.32,1539.81,55.4,PULSE,open,
1.283,882.10,2134.39,1522.82,54.3,PULSE,open,
1.331,895.82,2106.78,1485.74,50.8,PULSE,open,
1.378,912.31,2051.84,1443.26,47.1,PULSE,open,
1.427,913.88,2039.84,1423.04,45.0,PULSE,open,
1.469,932.66,2116.27,1364.24,40.7,PULSE,open,
1.518,874.13,2115.11,1303.56,34.5,PULSE,open,
1.561,949.84,2140.35,1267.04,29.0,PULSE,open,
1.609,935.25,2137.36,1203.63,22.8,REFRACTORY,open,
1.651,892.46,2132.06,1127.50,18.5,REFRACTORY,open,
1.701,819.77,2132.65,1044.48,13.9,REFRACTORY,open,
1.750,780.39,2098.54,960.02,10.4,REFRACTORY,open,
1.792,772.08,2023.80,894.42,7.1,REFRACTORY,open,
1.841,754.19,2023.54,854.08,5.8,REFRACTORY,open,
1.883,769.68,2012.04,799.50,7.6,REFRACTORY,open,
1.930,709.32,2015.90,822.27,6.7,REFRACTORY,open,
1.977,775.02,2170.08,893.57,7.6,REFRACTORY,open,
2.024,756.48,2566.89,1033.02,6.3,REFRACTORY,open,
2.074,770.35,2564.11,1053.58,8.0,REFRACTORY,open,
2.120,752.75,2576.76,1067.54,8.2,REFRACTORY,open,
2.169,760.65,2618.69,1090.47,9.1,REFRACTORY,open,
2.212,752.95,2640.76,1117.76,10.7,REFRACTORY,open,
2.258,761.82,2613.44,1124.53,18.3,REFRACTORY,open,
2.320,769.19,2642.25,1173.21,24.7,REFRACTORY,open,
2.365,785.91,2644.95,1190.99,29.3,REFRACTORY,open,
2.429,797.76,2669.98,1230.06,35.8,REFRACTORY,open,
2.466,809.62,2669.89,1249.55,39.9,REFRACTORY,open,
2.520,821.08,2683.67,1281.81,44.3,REFRACTORY,open,
2.557,830.24,2707.61,1318.39,47.7,REFRACTORY,open,
2.619,855.53,2724.18,1363.61,52.1,REFRACTORY,open,
2.653,861.29,2742.16,1394.56,53.1,REFRACTORY,open,
2.710,892.68,2762.41,1388.60,56.2,REFRACTORY,open,
2.747,888.46,2759.57,1375.53,58.1,REFRACTORY,open,
2.801,937.95,2701.42,1365.24,61.5,REFRACTORY,open,
2.842,949.93,2656.33,1364.87,60.5,REFRACTORY,open,
2.894,986.70,2598.69,1357.66,63.3,REFRACTORY,open,
2.942,996.93,2563.44,1352.31,63.7,REFRACTORY,open,
2.987,1027.75,2524.15,1354.16,65.6,REFRACTORY,open,
3.035,1041.09,2477.47,1352.67,65.1,REFRACTORY,open,
3.077,1068.86,2431.56,1353.78,65.8,REFRACTORY,open,
3.122,1079.15,2390.66,1349.06,66.0,REFRACTORY,open,
3.170,1097.80,2350.92,1341.60,65.3,REFRACTORY,open,
3.216,1125.92,2305.67,1334.03,64.9,REFRACTORY,open,
3.266,1120.02,2238.96,1324.01,62.2,REFRACTORY,open,
3.307,1168.37,2183.67,1306.38,59.0,REFRACTORY,open,
3.461,1214.60,2052.02,1201.85,52.9,REFRACTORY,open,
3.512,1241.00,2022.19,1199.32,51.9,REFRACTORY,open,
3.555,1228.26,2007.29,1232.13,50.8,REFRACTORY,open,
3.600,1288.75,1996.46,1251.81,49.9,REFRACTORY,open,
3.660,1274.27,1974.71,1272.18,47.4,REFRACTORY,open,
3.708,1299.74,1973.04,1282.24,43.1,REFRACTORY,open,
3.754,1295.76,1981.15,1272.15,41.7,REFRACTORY,open,
3.801,1338.47,1982.22,1246.47,39.7,REFRACTORY,open,
3.839,1314.15,1983.70,1235.96,38.3,REFRACTORY,open,
3.892,1341.04,1974.19,1192.54,32.6,REFRACTORY,open,
3.943,1332.09,1970.65,1156.37,29.9,REFRACTORY,open,
3.986,1360.14,1976.26,1131.38,28.8,REFRACTORY,open,
4.033,1349.71,1972.44,1094.87,27.7,REFRACTORY,open,
4.068,1355.76,1967.06,1057.34,24.7,REFRACTORY,open,
4.127,1329.01,1967.13,1000.70,21.7,REFRACTORY,open,
4.178,1323.40,1968.85,986.26,21.8,REFRACTORY,open,
4.218,1297.30,2006.45,958.83,20.6,REFRACTORY,open,
4.267,1286.47,2076.52,925.61,18.7,REFRACTORY,open,
4.311,1273.95,2140.95,929.58,20.1,REFRACTORY,open,
4.357,1250.60,2189.06,958.95,19.5,REFRACTORY,open,
4.404,1234.13,2285.94,1018.21,20.2,IDLE,open,
