t_s,dtw_relaxed,dtw_close,dtw_open,env,fsm,gripper,fired
0.452,599.71,2159.67,1490.69,47.8,PULSE,open,
0.507,595.71,2193.57,1476.47,50.0,PULSE,open,
0.557,626.92,2185.71,1470.85,51.0,PULSE,open,
0.596,537.09,2165.58,1467.44,51.1,PULSE,open,
0.655,644.64,2182.06,1449.50,49.3,PULSE,open,
0.696,556.88,2207.44,1433.59,47.2,PULSE,open,
0.738,664.54,2244.64,1413.90,48.8,PULSE,open,
0.783,650.69,2235.82,1405.10,47.0,PULSE,open,
0.842,676.67,2201.46,1361.07,43.1,PULSE,open,
0.886,658.65,2204.07,1353.58,41.7,PULSE,open,
0.934,679.87,2197.62,1345.67,41.9,PULSE,open,
0.977,671.68,2199.11,1338.12,42.4,PULSE,open,
1.026,688.43,2188.03,1334.66,45.5,PULSE,open,
1.072,701.07,2162.21,1330.56,47.6,PULSE,open,
1.117,700.86,2162.51,1325.20,46.8,PULSE,open,
1.167,727.90,2137.79,1331.74,46.4,PULSE,open,
1.211,721.17,2136.16,1325.88,46.9,PULSE,open,
1.262,754.33,2174.41,1314.46,44.8,PULSE,open,
1.306,735.05,2245.31,1303.20,44.9,PULSE,open,
1.352,788.67,2273.82,1301.58,45.7,PULSE,open,
1.397,774.56,2307.44,1287.72,47.4,PULSE,open,
1.501,802.63,2329.84,1263.98,46.3,PULSE,open,
1.553,845.81,2337.34,1254.70,47.8,PULSE,open,
1.597,836.88,2349.12,1306.13,47.1,PULSE,open,
1.646,864.38,2350.95,1317.75,46.9,PULSE,open,
1.688,864.77,2320.40,1332.48,47.6,PULSE,open,
1.739,888.91,2355.86,1333.83,46.3,PULSE,open,
1.787,897.10,2321.56,1338.95,47.3,PULSE,open,
1.834,902.60,2313.64,1343.88,48.2,PULSE,open,
1.880,934.09,2261.59,1350.71,49.9,PULSE,open,
1.932,915.33,2305.43,1355.30,49.2,PULSE,open,
1.972,955.29,2284.87,1142.58,48.9,PULSE,open,
2.017,941.63,2668.03,1398.74,49.0,PULSE,open,
2.065,973.89,2634.76,1385.97,47.7,PULSE,open,
2.112,959.96,2619.57,1378.26,48.1,PULSE,open,
2.159,977.27,2600.80,1362.28,47.8,PULSE,open,
2.206,984.58,2593.48,1358.62,50.4,PULSE,open,
2.259,1000.74,2581.58,1358.69,48.1,PULSE,open,
2.297,1016.84,2578.15,1355.02,47.6,PULSE,open,
2.344,1003.66,2574.63,1348.86,47.0,PULSE,open,
2.405,1039.54,2560.48,1336.77,45.5,PULSE,open,
2.441,1030.09,2551.05,1330.86,46.8,PULSE,open,
2.496,1070.07,2545.08,1322.70,46.9,PULSE,open,
2.545,1058.70,2543.02,1319.05,48.4,PULSE,open,
2.590,1093.64,2541.57,1310.04,47.0,PULSE,open,
2.636,1038.14,2540.45,1303.64,49.0,PULSE,open,
2.691,1119.55,2543.98,1296.70,45.8,PULSE,open,
2.719,1117.03,2540.47,1288.65,44.9,PULSE,open,
2.777,1139.09,2533.01,1279.83,44.8,PULSE,open,
2.830,1139.13,2528.37,1269.88,43.9,PULSE,open,
2.861,1138.75,2519.22,1265.04,42.3,PULSE,open,
2.917,1164.04,2530.06,1281.53,44.6,PULSE,open,
2.966,1165.79,2536.85,1294.65,43.2,PULSE,open,
3.018,1178.62,2545.80,1278.29,41.4,PULSE,open,
3.049,1122.85,2535.52,1249.64,37.1,PULSE,open,
3.105,1205.87,2527.80,1239.16,38.4,PULSE,open,
3.150,1103.97,2524.44,1238.36,35.5,PULSE,open,
3.197,1221.44,2518.22,1231.69,35.1,PULSE,open,
3.244,1111.59,2520.22,1218.08,30.9,PULSE,open,
3.293,1236.12,2515.68,1216.18,28.8,PULSE,open,
3.345,1153.47,2518.82,1216.17,29.0,PULSE,open,
3.383,1228.11,2520.84,1215.66,29.9,PULSE,open,
3.430,1227.93,2518.55,1211.85,28.7,PULSE,open,
3.475,1224.98,2522.26,1207.39,25.6,PULSE,open,
3.521,1239.36,2521.02,1209.75,23.0,REFRACTORY,open,
3.571,1217.37,2508.73,1209.11,23.3,REFRACTORY,open,
3.614,1247.59,2506.41,1205.39,25.7,REFRACTORY,open,
3.665,1218.11,2504.64,1206.50,26.3,REFRACTORY,open,
3.707,1262.02,2500.69,1213.61,24.9,REFRACTORY,open,
3.753,1153.57,2503.43,1211.06,23.4,REFRACTORY,open,
3.799,1217.19,2509.51,1195.83,19.2,REFRACTORY,open,
3.845,1219.69,2512.61,1208.92,19.5,REFRACTORY,open,
3.898,1186.00,2515.00,1179.74,17.8,REFRACTORY,open,
3.940,1169.69,2512.32,1176.40,17.3,REFRACTORY,open,
3.991,1198.91,2510.25,1175.54,18.5,REFRACTORY,open,
4.032,1202.23,2507.21,1182.59,19.3,REFRACTORY,open,
4.078,1175.26,2508.04,1177.47,18.5,REFRACTORY,open,
4.126,1146.01,2502.26,1173.32,19.2,REFRACTORY,open,
4.187,1130.96,2501.65,1178.97,21.2,REFRACTORY,open,
4.249,1110.25,2485.85,1172.40,20.6,REFRACTORY,open,
4.296,1110.90,2488.54,1170.60,19.9,REFRACTORY,open,
4.342,1091.06,2490.74,1172.07,20.2,REFRACTORY,open,
4.388,1076.58,2487.56,1188.53,22.8,REFRACTORY,open,
4.437,1058.28,2487.86,1198.27,22.4,REFRACTORY,open,
4.476,1064.62,2476.13,1198.85,22.9,REFRACTORY,open,
4.533,1036.96,2470.01,1209.45,21.9,REFRACTORY,open,
4.563,1046.14,2479.28,1209.08,25.0,REFRACTORY,open,
4.618,1027.76,2447.02,1198.65,26.1,REFRACTORY,open,
4.665,1021.52,2458.43,1204.08,24.0,REFRACTORY,open,
4.709,1006.16,2450.62,1184.36,24.4,REFRACTORY,open,
4.757,996.36,2444.37,1182.75,25.4,REFRACTORY,open,
4.803,983.93,2435.80,1176.88,24.9,REFRACTORY,open,
4.855,987.62,2413.82,1174.86,25.1,REFRACTORY,open,
4.894,975.74,2404.26,1172.21,25.9,REFRACTORY,open,
4.944,961.22,2390.74,1134.82,28.4,REFRACTORY,open,
4.992,967.20,2366.76,1134.62,27.7,REFRACTORY,open,
5.038,954.15,2340.15,1130.33,26.0,REFRACTORY,open,
5.085,949.53,2330.10,1130.17,26.0,REFRACTORY,open,
5.130,942.12,2316.88,1124.88,28.0,REFRACTORY,open,
5.181,930.63,2301.20,1131.37,26.3,REFRACTORY,open,
5.223,921.32,2274.81,1132.72,24.8,REFRACTORY,open,
5.268,916.73,2266.01,1131.76,25.9,REFRACTORY,open,
5.316,907.54,2256.76,1131.92,24.8,REFRACTORY,open,
5.361,910.69,2249.85,1137.04,25.6,REFRACTORY,open,
5.408,891.73,2237.71,1147.59,26.6,REFRACTORY,open,
5.454,884.31,2226.26,1159.94,26.5,REFRACTORY,open,
5.507,876.69,2218.09,1157.07,25.8,REFRACTORY,open,
5.548,874.94,2218.20,1166.92,24.3,REFRACTORY,open,
5.595,855.33,2218.25,1153.29,22.8,REFRACTORY,open,
5.641,833.53,2216.11,1102.93,19.4,REFRACTORY,open,
5.687,813.57,2209.04,1106.45,18.4,REFRACTORY,open,
5.749,822.65,2200.90,1115.09,19.6,REFRACTORY,open,
5.797,778.56,2198.38,1116.29,19.1,REFRACTORY,open,
5.835,773.97,2189.46,1111.76,19.2,REFRACTORY,open,
5.888,764.93,2187.50,1113.95,20.6,IDLE,open,
5.925,752.71,2194.22,1115.67,20.3,IDLE,open,
5.977,721.55,2201.52,1104.02,17.9,IDLE,open,
6.025,694.52,2211.30,1097.74,17.0,IDLE,open,
6.072,687.00,2213.18,1083.84,16.8,IDLE,open,
6.116,626.81,2236.49,1075.48,16.1,IDLE,open,
6.158,644.81,2243.37,1076.99,16.9,IDLE,open,
6.210,614.47,2239.51,1075.66,16.8,IDLE,open,
6.263,617.20,2242.00,1074.76,16.5,IDLE,open,
6.305,589.81,2246.56,1072.52,18.1,IDLE,open,
6.349,593.33,2240.70,1071.84,18.1,IDLE,open,
6.394,568.28,2246.65,1067.29,16.5,IDLE,open,
6.439,527.87,2255.91,1057.26,15.5,IDLE,open,
6.639,476.94,2297.99,1058.78,16.6,IDLE,open,
